game_date,home_team,away_team,period,game_seconds,time_since_pass,home_team_skaters,away_team_skaters,home_team_goals,away_team_goals,team,event,passer,pass_type,pass_x,pass_y,rec_x,rec_y,shooter,shot_x,shot_y,shot_type,shot_outcome,shot_traffic,shot_onetimer,pass_to_recp_distance,recp_to_shot_distance
2021-01-23,Minnesota Whitecaps,Boston Pride,1,53,1,5,5,0,0,Minnesota Whitecaps,Shot,Allie Thunstrom,Direct,168,10,161,14,Nina Rodgers,167,18,Snapshot,Missed,False,False,8.06225774829855,7.211102550927978
2021-01-23,Minnesota Whitecaps,Boston Pride,1,86,2,5,5,0,0,Boston Pride,Shot,Jillian Dempsey,Direct,135,52,168,74,McKenna Brand,175,68,Snapshot,On Net,False,False,39.66106403010388,9.219544457292887
2021-01-23,Minnesota Whitecaps,Boston Pride,1,190,0,5,5,0,0,Minnesota Whitecaps,Shot,Allie Thunstrom,Direct,199,53,180,48,Haylea Schmid,181,43,Snapshot,On Net,False,False,19.6468827043885,5.0990195135927845
2021-01-23,Minnesota Whitecaps,Boston Pride,1,222,1,5,5,0,0,Boston Pride,Shot,Samantha Davis,Direct,197,22,160,10,Lauren Kelly,163,10,Snapshot,On Net,False,False,38.897300677553446,3.0
2021-01-23,Minnesota Whitecaps,Boston Pride,1,244,4,5,5,0,0,Boston Pride,Shot,Paige Capistran,Indirect,30,4,98,3,Jillian Dempsey,149,19,Snapshot,On Net,False,False,68.00735254367721,53.45091205957107
2021-01-23,Minnesota Whitecaps,Boston Pride,1,316,2,5,5,0,0,Boston Pride,Shot,Tori Sullivan,Direct,131,18,147,10,Lexie Laing,162,28,Snapshot,Missed,True,False,17.88854381999832,23.430749027719962
2021-01-23,Minnesota Whitecaps,Boston Pride,1,338,3,5,5,0,0,Boston Pride,Shot,Meaghan Rickard,Direct,76,18,112,16,Carlee Turner,143,17,Wristshot,On Net,True,False,36.05551275463989,31.016124838541646
2021-01-23,Minnesota Whitecaps,Boston Pride,1,412,2,5,5,0,0,Boston Pride,Shot,Tereza Vanisova,Direct,144,14,137,57,Jenna Rheault,139,53,Slapshot,Missed,True,False,43.56604182158393,4.47213595499958
2021-01-23,Minnesota Whitecaps,Boston Pride,1,463,3,4,5,0,0,Boston Pride,Shot,Taylor Turnquist,Indirect,152,84,139,79,Christina Putigna,166,32,Snapshot,On Net,True,False,13.92838827718412,54.20332093147061
2021-01-23,Minnesota Whitecaps,Boston Pride,1,526,0,4,5,0,0,Boston Pride,Shot,Tereza Vanisova,Direct,139,69,135,36,Kaleigh Fratkin,135,36,Slapshot,On Net,True,True,33.24154027718932,0.0
2021-01-23,Minnesota Whitecaps,Boston Pride,1,554,0,5,5,0,0,Boston Pride,Shot,Tori Sullivan,Direct,161,37,184,50,Lexie Laing,184,50,Snapshot,On Net,False,True,26.419689627245813,0.0
